Age,Income,Location,Samplingtime,Sex,Drinking,Education,Marriage,Smoking
70.272,26400,11,1,1,0,4,2,0
64.099,26400,11,1,2,0,2,2,0
55.244,24000,11,1,2,0,3,3,0
58.927,1000,11,1,1,1,2,2,0
58.927,1000,11,1,2,0,2,2,0
67.784,23804,11,1,1,0,4,2,0
61.473,41000,11,1,2,1,4,2,0
61.93,383400,11,1,2,0,3,2,0
77.262,20835.97177,11,1,1,0,5,2,0
67.055,28141.50112,11,1,2,1,5,2,0
41.462,45333.33333,11,1,1,1,5,2,0
67.795,16000,11,1,1,1,5,2,0
62.166,16000,11,1,2,0,2,2,0
65.859,18469.33333,11,1,2,1,3,4,0
81.281,30000,11,1,2,0,5,2,0
69.251,42000,11,1,1,1,6,2,0
75.929,34800,11,1,1,1,3,2,0
29.558,22024.17657,11,1,2,0,2,1,0
57.673,27126.43678,11,1,1,0,2,2,1
55.737,27126.43678,11,1,2,0,2,2,0
30.949,27126.43678,11,1,1,0,3,1,0
49.93,8965.517241,11,1,2,0,2,2,0
36.709,0,11,1,1,0,3,2,0
14.749,0,11,1,1,0,1,1,0
59.693,2097.701149,11,1,2,0,2,2,0
59.088,19425.28736,11,1,1,1,3,2,0
57.755,19425.28736,11,1,2,0,3,2,0
70.398,42241.37931,11,1,1,0,1,2,0
62.604,42241.37931,11,1,2,0,1,2,0
53.418,32203.06513,11,1,1,0,2,2,0
51.028,32203.06513,11,1,2,0,2,2,0
51.521,8275.862069,11,1,1,0,2,4,1
83.277,15574.71264,11,1,1,0,3,4,1
33.467,0,11,1,2,0,5,2,0
62.423,26896.55172,11,1,2,0,2,2,1
42.721,28850.57471,11,1,2,0,4,2,0
65.347,15862.06897,11,1,1,0,1,2,0
65.133,15862.06897,11,1,2,0,1,2,0
75.452,25988.50575,11,1,1,0,1,2,0
49.087,15927.96935,11,1,1,1,3,2,0
21.799,15927.96935,11,1,2,0,5,1,0
37.383,4597.701149,11,1,2,0,5,2,0
25.383,28735.63218,11,1,2,0,2,2,0
65.495,38300,11,1,2,0,4,2,0
61.572,32400,11,1,2,0,2,2,0
51.669,20000,11,1,2,0,1,2,0
29.697,24000,11,1,1,1,2,2,1
28.643,24000,11,1,2,1,2,2,0
42.845,24950,11,1,2,0,3,2,0
51.663,15005,11,1,2,0,3,2,0
56.786,13965,11,1,2,0,2,2,0
57.613,34908.33333,11,1,2,0,2,2,0
69.949,22150,11,1,1,0,1,2,0
68.249,22150,11,1,2,0,1,2,0
63.009,30804.5977,11,1,2,0,3,2,0
48.887,50344.82759,11,1,2,0,5,2,0
50.716,50344.82759,11,1,1,1,5,2,0
66.029,28247.12644,11,1,1,1,5,2,0
65.021,28247.12644,11,1,2,0,4,2,0
85.823,45357.30759,11,1,1,1,5,2,0
78.33,46736.61794,11,1,1,1,5,2,0
76.983,46736.61794,11,1,2,0,2,2,0
49.5,0,11,1,2,0,3,2,0
60.569,106896.5517,11,1,2,0,5,2,0
45.832,20689.65517,11,1,1,1,5,2,0
65.823,29550,11,1,1,1,4,2,1
65.536,15600,11,1,1,1,5,2,0
65.454,15600,11,1,2,0,5,2,0
57.402,29712.64368,11,1,1,1,1,2,1
56.975,29712.64368,11,1,2,0,2,2,0
48.49,27586.2069,11,1,2,0,2,2,0
65.509,35862.06897,11,1,1,1,1,2,0
62.483,43448.27586,11,1,1,1,6,2,0
64.129,41379.31035,11,1,1,1,2,2,1
64.079,41379.31035,11,1,2,0,3,2,0
80.608,31034.48276,11,1,1,1,2,2,1
71.083,31034.48276,11,1,2,0,1,2,0
62.653,38965.51724,11,1,1,1,2,2,1
61.875,38965.51724,11,1,2,0,4,2,0
68.66,33045.97701,11,1,1,1,2,2,1
77.799,39747.12644,11,1,1,0,5,2,1
64.542,13358.23755,11,1,2,0,2,2,0
80.216,22931.03448,11,1,2,0,1,4,1
44.487,21939.65517,11,1,1,0,2,2,1
41.971,22605.36399,11,1,2,0,2,2,0
52.964,26408.04598,11,1,2,0,2,2,0
76.153,31249.04215,11,1,1,0,1,2,1
55.102,36781.6092,11,1,2,0,4,4,0
63.441,17557.47126,11,1,2,0,1,2,0
59.102,28237.54789,11,1,2,0,2,2,0
58.171,28237.54789,11,1,1,1,2,2,0
49.969,39540.22989,11,1,1,1,2,2,0
59.953,1666.666667,11,1,1,0,2,2,0
55.899,1666.666667,11,1,2,0,1,2,0
53.363,3183.908046,11,1,1,1,2,2,1
28.663,18218.00766,11,1,1,0,5,1,1
62.987,35517.24138,11,1,2,0,1,2,0
56.304,53016.09195,11,1,1,1,2,2,1
58.672,53016.09195,11,1,2,0,3,2,0
