beta.HCH,pp.DDE,PFOA,PFNA
-0.801091409,-0.058808393,0.668759859,0.33517878
1.018097742,1.157188902,0.784501032,0.165464564
0.107086464,0.674062002,0.653091502,0.132618256
-0.471266577,0.467338499,0.589411424,0.060084981
-0.291035571,0.021261353,0.596337598,0.041024131
-0.466640129,-0.273418115,0.841085292,0.121429706
0.820908831,0.447557005,0.722894463,0.138807706
-0.044688499,0.139929998,0.806278821,0.172306176
0.397729491,0.794320805,0.710817479,0.193403533
0.656698177,0.334939395,0.810857998,0.155903667
-0.186670544,0.218854279,0.693408865,-0.167513981
-0.414776616,0.480860193,0.69493832,-0.111269299
0.380453603,0.41824801,0.687456379,-0.112882955
0.385256818,0.784873083,0.943674581,0.408647871
0.766259603,1.248289913,0.948288453,0.466153484
0.082056593,0.656368599,0.662676196,-0.051879454
1.28998543,0.967236938,0.667808765,0.024479353
-1.040183887,-0.222584979,0.663417975,-0.888893251
-0.598622721,-0.069150366,0.511978412,-0.750541718
-0.329939169,0.081126167,0.725015579,-0.293725503
-1.297532369,-0.039204395,0.564669565,-0.455478516
-0.38227651,-0.141201825,0.61932416,0.045448709
-1.082788374,-0.132933912,0.606291782,-0.399968704
-1.451544993,-0.508794785,1.138051338,-0.41982192
-0.246879024,0.142117664,1.054340712,-0.046883964
-0.794332183,-0.060835969,0.760438163,0.140948731
0.454798701,0.855469178,0.751992207,-0.010303436
-1.16264108,-0.208696422,0.740489922,-0.164593804
-0.045320394,0.100893195,0.609704562,-0.538521727
-0.592100675,-0.116262027,0.812830334,0.019346032
-0.214977094,0.00920392,0.407784929,-1.142838529
-1.083042965,-0.378349224,0.705113995,-0.084327944
-0.645881359,-0.379788494,0.647758389,-0.24779
-0.037604836,0.120438505,0.275297103,-0.325426272
0.709174978,0.848879578,0.258592756,-0.939256789
-0.373426421,0.244492973,0.487466291,-0.326383719
0.381169142,0.684481191,0.490052833,-0.728842038
0.387469756,0.257760182,0.692689574,-0.233943228
0.553312725,0.597776174,0.662263939,-0.229514189
0.14276579,0.773745206,0.75657337,-0.031209408
0.210642383,0.565104054,0.594932548,-0.413585854
-0.40402545,-0.161520646,0.578038935,-0.130858476
-0.197708967,0.047574242,0.511631389,-0.244855955
1.023672557,0.789921896,1.244100224,0.534934769
0.045430867,0.776841782,1.4280692,0.708326258
0.754363703,0.424861536,1.222194466,0.477048513
-0.128699941,-0.371139031,1.191166698,0.372011612
0.129182377,0.540020931,1.023388471,0.212129638
-0.963020485,0.192473893,0.927333755,0.18683204
0.437631565,-0.372705752,0.974837246,0.18919639
0.543505401,0.569992563,0.765407569,0.317927802
0.624675968,0.303429184,0.788820443,0.020288979
0.797650985,0.676998146,1.313932866,0.454437683
0.941348692,0.593844788,1.349476358,0.582637492
0.216282144,0.946575643,0.996521302,0.509291812
0.469525975,1.01410095,1.31059712,0.649291296
0.526928151,0.677930157,1.283317298,0.674003491
0.322723195,0.320512016,1.298257368,0.588397593
0.856828009,0.990795336,1.08722328,0.418113918
0.543381576,0.684965978,0.550061071,0.029942308
0.836406794,0.808415182,1.253951898,0.616405771
0.847156951,0.875765553,0.895296763,0.222130441
0.336437925,0.337993042,1.096112075,0.432643183
0.025097007,0.173131249,1.139863128,0.594181683
1.3630781,1.033647846,0.572489967,0.096785996
0.409813435,0.742948654,1.301664516,0.590938098
0.58132509,0.559385871,1.080410158,0.588905109
0.436824915,0.850658431,1.316994544,0.784058841
0.759987966,0.038318256,1.050515503,0.39237158
-0.054053658,0.425854445,0.989643789,0.335083293
-0.449657089,-0.191173075,0.805959009,0.110929691
0.135136124,0.309241582,0.675781479,0.407463802
-0.009685146,0.685383861,0.969622357,0.579229604
-1.014443508,-0.801834218,1.176327875,0.409260228
0.975884979,1.018852484,1.266905042,0.320832553
1.218915948,0.848316436,0.79106691,0.399676593
0.637272148,0.497555564,0.501131146,-0.070001183
-0.246501491,0.325492867,1.227938083,0.555609289
0.996216691,0.551719191,1.157205284,0.553034032
0.093702464,0.612130784,0.955863881,0.616358913
-0.445151852,0.331955334,0.454005043,-0.139104463
1.274241462,1.219162913,1.105144107,0.544372185
0.877816093,1.524358794,0.877901875,0.277366116
-0.205565812,0.446262116,0.775605393,0.112380796
0.889549289,0.713029977,0.46291756,-0.122588425
0.705576557,0.826796671,1.324084584,0.414937151
0.417179528,0.615440839,0.522136692,0.065906698
-0.285401744,-0.291660505,1.45197942,0.60965202
1.16866316,0.816344805,0.932273304,0.222464508
1.332828268,0.922463352,1.707173514,0.743909092
